shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
40520001,42.347593,-71.073569,120013,
40520001,42.347579,-71.073841,120014,
40520001,42.347569,-71.074335,120015,
40520001,42.347560,-71.074718,120016,
40520001,42.347519,-71.075110,120017,
40520001,42.347458,-71.075585,120018,
40520001,42.347401,-71.075790,120019,
40520003,42.347403,-71.075785,10001,
40520003,42.347458,-71.075585,10002,
40520003,42.347519,-71.075110,10003,
40520003,42.347560,-71.074718,10004,
40520003,42.347569,-71.074335,10005,
40520003,42.347579,-71.073841,10006,
40520003,42.347593,-71.073569,10007,
40520003,42.347588,-71.072294,10008,
40520003,42.347596,-71.071599,10009,
40520003,42.347583,-71.070204,10010,
40520003,42.347565,-71.068987,10011,
40520003,42.347546,-71.068647,10012,
40520003,42.347465,-71.067868,10013,
40520003,42.347464,-71.067673,10014,
40520003,42.347481,-71.067527,10015,
40520003,42.347542,-71.067344,10016,
40520003,42.348989,-71.064201,10017,
40520003,42.349072,-71.064112,10018,
40520003,42.349524,-71.063995,10019,
40520003,42.349524,-71.063995,20001,
40520003,42.349826,-71.063918,20002,
40520003,42.350443,-71.063318,20003,
40520003,42.350737,-71.062986,20004,
40520003,42.350838,-71.062918,20005,
40520003,42.350966,-71.062858,20006,
40520003,42.351596,-71.062699,20007,
40520003,42.352431,-71.062528,20008,
40520003,42.352536,-71.062512,20009,
40520003,42.352536,-71.062512,30001,
40520003,42.352830,-71.062467,30002,
40520003,42.353068,-71.062446,30003,
40520003,42.353281,-71.062439,30004,
40520003,42.353504,-71.062363,30005,
40520003,42.353618,-71.062304,30006,
40520003,42.353888,-71.062045,30007,
40520003,42.354067,-71.061850,30008,
40520003,42.354920,-71.061027,30009,
40520003,42.355291,-71.060598,30010,
40520003,42.355565,-71.060333,30011,
40520003,42.355576,-71.060321,30012,
40520003,42.355576,-71.060321,40001,
40520003,42.355996,-71.059847,40002,
40520003,42.356503,-71.059266,40003,
40520003,42.356942,-71.058665,40004,
40520003,42.357914,-71.057795,40005,
40520003,42.358026,-71.057719,40006,
40520003,42.358110,-71.057709,40007,
40520003,42.358872,-71.057710,40008,
40520003,42.358977,-71.057708,40009,
40520003,42.358977,-71.057708,50001,
40520003,42.360395,-71.057691,50002,
40520003,42.362708,-71.057892,50003,
40520003,42.362969,-71.057940,50004,
40520003,42.363140,-71.058043,50005,
40520003,42.363140,-71.058043,60001,
40520003,42.363321,-71.058165,60002,
40520003,42.363533,-71.058364,60003,
40520003,42.364186,-71.059114,60004,
40520003,42.365743,-71.060455,60005,
40520003,42.365743,-71.060455,70001,
40520003,42.365832,-71.060531,70002,
40520003,42.371298,-71.065725,70003,
40520003,42.371310,-71.065748,70004,
40520003,42.372677,-71.067739,70005,
40520003,42.373453,-71.069084,70006,
40520003,42.373642,-71.069578,70007,
40520003,42.373657,-71.069613,70008,
40520003,42.373657,-71.069613,80001,
40520003,42.374109,-71.070642,80002,
40520003,42.374366,-71.071204,80003,
40520003,42.374488,-71.071477,80004,
40520003,42.375065,-71.072442,80005,
40520003,42.375461,-71.073003,80006,
40520003,42.375918,-71.073634,80007,
40520003,42.376445,-71.074194,80008,
40520003,42.376996,-71.074680,80009,
40520003,42.378895,-71.076313,80010,
40520003,42.379358,-71.076605,80011,
40520003,42.379536,-71.076679,80012,
40520003,42.379593,-71.076710,80013,
40520003,42.379743,-71.076783,80014,
40520003,42.379995,-71.076868,80015,
40520003,42.380169,-71.076908,80016,
40520003,42.380307,-71.076932,80017,
40520003,42.380549,-71.076935,80018,
40520003,42.381775,-71.076955,80019,
40520003,42.382587,-71.077017,80020,
40520003,42.382872,-71.077006,80021,
40520003,42.383007,-71.077001,80022,
40520003,42.383106,-71.076998,80023,
40520003,42.383675,-71.076967,80024,
40520003,42.383675,-71.076967,90001,
40520003,42.384131,-71.076943,90002,
40520003,42.384489,-71.076918,90003,
40520003,42.385151,-71.076919,90004,
40520003,42.385274,-71.076927,90005,
40520003,42.385596,-71.076927,90006,
40520003,42.385786,-71.076923,90007,
40520003,42.386191,-71.076929,90008,
40520003,42.386303,-71.076923,90009,
40520003,42.386457,-71.076925,90010,
40520003,42.386970,-71.076938,90011,
40520003,42.387402,-71.076947,90012,
40520003,42.387963,-71.076995,90013,
40520003,42.388473,-71.077017,90014,
40520003,42.389523,-71.077050,90015,
40520003,42.389980,-71.077044,90016,
40520003,42.390653,-71.077048,90017,
40520003,42.391317,-71.077086,90018,
40520003,42.392354,-71.077191,90019,
40520003,42.392660,-71.077216,90020,
40520003,42.392660,-71.077216,100001,
40520003,42.393336,-71.077273,100002,
40520003,42.394309,-71.077294,100003,
40520003,42.396978,-71.077280,100004,
40520003,42.397769,-71.077266,100005,
40520003,42.398491,-71.077262,100006,
40520003,42.398849,-71.077236,100007,
40520003,42.399364,-71.077232,100008,
40520003,42.400069,-71.077209,100009,
40520003,42.400432,-71.077209,100010,
40520003,42.400793,-71.077191,100011,
40520003,42.401673,-71.077153,100012,
40520003,42.401673,-71.077153,110001,
40520003,42.401722,-71.077151,110002,
40520003,42.402447,-71.077121,110003,
40520003,42.402646,-71.077100,110004,
40520003,42.402716,-71.077092,110005,
40520003,42.403722,-71.077045,110006,
40520003,42.404159,-71.077001,110007,
40520003,42.404288,-71.076998,110008,
40520003,42.404411,-71.076996,110009,
40520003,42.404896,-71.077003,110010,
40520003,42.404992,-71.077003,110011,
40520003,42.405784,-71.076990,110012,
40520003,42.406351,-71.076988,110013,
40520003,42.409317,-71.076932,110014,
40520003,42.410595,-71.076891,110015,
40520003,42.411038,-71.076913,110016,
40520003,42.411561,-71.076908,110017,
40520003,42.413161,-71.076867,110018,
40520003,42.414700,-71.076825,110019,
40520003,42.415910,-71.076804,110020,
40520003,42.416433,-71.076805,110021,
