season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId
Fall 2024,CR-Fairmount,Fairmount Line,927,0,day_type_01,weekday,1/1/2024 11:12,Uphams Corner,3.0,2,1,10,15589
Fall 2024,CR-Fairmount,Fairmount Line,919,0,day_type_01,weekday,1/1/2024 9:25,Newmarket,2.0,2,1,4,15590
Fall 2024,CR-Fairmount,Fairmount Line,907,0,day_type_01,weekday,1/1/2024 6:38,Blue Hill Avenue,7.0,3,6,14,15591
Fall 2024,CR-Fairmount,Fairmount Line,919,0,day_type_01,weekday,1/1/2024 9:27,Uphams Corner,3.0,3,2,5,15592
Fall 2024,CR-Fairmount,Fairmount Line,907,0,day_type_01,weekday,1/1/2024 6:41,Fairmount,8.0,1,8,7,15593
Fall 2024,CR-Fairmount,Fairmount Line,919,0,day_type_01,weekday,1/1/2024 9:30,Four Corners/Geneva,4.0,2,0,7,15594
Fall 2024,CR-Fairmount,Fairmount Line,907,0,day_type_01,weekday,1/1/2024 6:47,Readville,9.0,0,9,-2,15595
Fall 2024,CR-Fairmount,Fairmount Line,919,0,day_type_01,weekday,1/1/2024 9:33,Talbot Avenue,5.0,4,1,10,15596
Fall 2024,CR-Fairmount,Fairmount Line,908,1,day_type_01,weekday,1/1/2024 7:00,Readville,1.0,18,0,18,15597
Fall 2024,CR-Fairmount,Fairmount Line,908,1,day_type_01,weekday,1/1/2024 7:03,Fairmount,2.0,60,1,77,15598
Fall 2024,CR-Fairmount,Fairmount Line,908,1,day_type_01,weekday,1/1/2024 7:06,Blue Hill Avenue,3.0,22,0,99,15599
Fall 2024,CR-Fairmount,Fairmount Line,908,1,day_type_01,weekday,1/1/2024 7:08,Morton Street,4.0,23,4,118,15600
Fall 2024,CR-Fairmount,Fairmount Line,950,1,day_type_01,weekday,1/1/2024 18:00,South Station,9.0,0,36,0,15601
Fall 2024,CR-Fairmount,Fairmount Line,944,1,day_type_01,weekday,1/1/2024 16:30,South Station,9.0,0,34,0,15602
Fall 2024,CR-Fairmount,Fairmount Line,951,0,day_type_01,weekday,1/1/2024 17:17,South Station,1.0,166,0,166,15603
