from_stop_id,to_stop_id,transfer_type,min_transfer_time
A1139,A1139,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5805,A5805,4,0
A5806,A5806,4,0
A5806,A5806,4,0
A5806,A5806,4,0
A5806,A5806,4,0
A5806,A5806,4,0
A5806,A5806,4,0
A5806,A5806,4,0
A5806,A5806,4,0
A5806,A5806,4,0
A5806,A5806,4,0
A5806,A5806,4,0
A5806,A5806,4,0
A5806,A5806,4,0
A5806,A5806,4,0
A5806,A5806,4,0
A5806,A5806,4,0
A5806,A5806,4,0
A5806,A5806,4,0
A5806,A5806,4,0
A5806,A5806,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A1195,A1195,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
A5817,A5817,4,0
