stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
A437,628,Washington St @ Enneking Pkwy,,42.272920,-71.143477,LocalBus,https://www.mbta.com/stops/628,0,,1
A3852,6280,Malden St opp Patriot Pkwy,,42.418740,-71.011820,LocalBus,https://www.mbta.com/stops/6280,0,,1
A3853,6281,Malden St opp Stark Ave,,42.417758,-71.010387,LocalBus,https://www.mbta.com/stops/6281,0,,1
A3854,6283,Beach St @ Lawrence St,,42.433158,-71.027677,LocalBus,https://www.mbta.com/stops/6283,0,,1
A3855,6284,Beach St @ Clapp St,,42.433957,-71.029514,LocalBus,https://www.mbta.com/stops/6284,0,,1
A3856,6285,Salem St opp Bellvale St,,42.434727,-71.031570,LocalBus,https://www.mbta.com/stops/6285,0,,1
A438,629,Washington St opp Schubert St,,42.275951,-71.139621,LocalBus,https://www.mbta.com/stops/629,0,,1
A3857,6292,Orient Ave @ Selma St,,42.390106,-71.003808,LocalBus,https://www.mbta.com/stops/6292,0,,0
A3858,6298,High St @ Essex St,,42.420836,-71.119899,LocalBus,https://www.mbta.com/stops/6298,0,,1
A3859,6299,High St @ Woburn St,,42.421843,-71.123212,LocalBus,https://www.mbta.com/stops/6299,0,,0
A51,63,Washington St @ Ruggles St,,42.331035,-71.082875,ExpressBus-Downtown,https://www.mbta.com/stops/63,0,,1
A439,630,Washington St @ Blue Ledge Dr,,42.276717,-71.138763,LocalBus,https://www.mbta.com/stops/630,0,,1
A3860,6301,High St @ Mystic St,,42.421754,-71.126234,LocalBus,https://www.mbta.com/stops/6301,0,,1
A3861,6302,High St @ Allston St,,42.421545,-71.128743,LocalBus,https://www.mbta.com/stops/6302,0,,1
A3862,6303,High St @ Warren St - W Medford Sq,,42.421129,-71.131224,LocalBus,https://www.mbta.com/stops/6303,0,,1
A3863,6304,Playstead Rd @ Irving St - W Medford Sta,,42.421800,-71.133027,LocalBus,https://www.mbta.com/stops/6304,0,,1
A3864,6305,Playstead Rd @ Madison St,,42.423045,-71.134360,LocalBus,https://www.mbta.com/stops/6305,0,,1
A3865,6307,Playstead Rd @ Clewley Rd,,42.425812,-71.134837,LocalBus,https://www.mbta.com/stops/6307,0,,0
A3866,6308,Playstead Rd @ Dianne Rd,,42.427536,-71.134153,LocalBus,https://www.mbta.com/stops/6308,0,,1
A3867,6309,Playstead Rd @ Osborne Rd,,42.429813,-71.132365,LocalBus,https://www.mbta.com/stops/6309,0,,1
A440,631,Washington St @ Beech St,,42.278207,-71.137033,LocalBus,https://www.mbta.com/stops/631,0,,1
A3868,6310,Playstead Rd @ Winthrop St - W Medford Sq,,42.431898,-71.131364,LocalBus,https://www.mbta.com/stops/6310,0,,1
A3869,6311,Playstead Rd opp Osborne Rd,,42.429902,-71.132646,LocalBus,https://www.mbta.com/stops/6311,0,,1
A3870,6312,Playstead Rd @ Roberts Rd,,42.427617,-71.134423,LocalBus,https://www.mbta.com/stops/6312,0,,1
A3871,6313,Playstead Rd opp Clewley Rd,,42.425758,-71.134967,LocalBus,https://www.mbta.com/stops/6313,0,,1
A3872,6315,Playstead Rd opp Madison St,,42.422941,-71.134416,LocalBus,https://www.mbta.com/stops/6315,0,,1
A3873,6316,High St @ Canal St - W Medford Sq,,42.421059,-71.130609,LocalBus,https://www.mbta.com/stops/6316,0,,0
A3874,6317,High St @ Allston St,,42.421462,-71.128640,LocalBus,https://www.mbta.com/stops/6317,0,,1
A3875,6318,High St @ Mystic St,,42.421658,-71.126479,LocalBus,https://www.mbta.com/stops/6318,0,,1
A441,632,Washington St @ Cornell St,,42.279437,-71.135573,LocalBus,https://www.mbta.com/stops/632,0,,1
A3876,6320,High St @ Hastings Ln,,42.421749,-71.123131,LocalBus,https://www.mbta.com/stops/6320,0,,0
A3877,6321,238 High St opp Essex St,,42.420742,-71.119922,LocalBus,https://www.mbta.com/stops/6321,0,,1
A3878,6322,High St @ Winthrop St - Winthrop Circle,,42.421111,-71.117561,LocalBus,https://www.mbta.com/stops/6322,0,,1
A3879,6323,High St opp Powder House Rd,,42.420057,-71.114997,LocalBus,https://www.mbta.com/stops/6323,0,,1
A3880,6324,High St opp Governors Ave,,42.418677,-71.111883,LocalBus,https://www.mbta.com/stops/6324,0,,1
A6367,63241,37 Riverside Ave @ Medford Sq,,42.417797,-71.108534,LocalBus,https://www.mbta.com/stops/63241,0,,1
A442,633,Washington St @ Metropolitan Ave,,42.281294,-71.133567,LocalBus,https://www.mbta.com/stops/633,0,,1
A443,634,Washington St @ Albano St,,42.283304,-71.131416,LocalBus,https://www.mbta.com/stops/634,0,,1
A444,635,Washington St @ Poplar St,,42.285461,-71.129081,LocalBus,https://www.mbta.com/stops/635,0,,1
A3881,6357,River St @ Way St,,42.256236,-71.120580,LocalBus,https://www.mbta.com/stops/6357,0,,1
A3882,6359,River St @ West St,,42.258812,-71.117831,LocalBus,https://www.mbta.com/stops/6359,0,,1
A445,636,Washington St @ Cummins Hwy,,42.286660,-71.127791,LocalBus,https://www.mbta.com/stops/636,0,,1
A3883,6360,River St @ Metropolitan Ave,,42.260317,-71.115746,LocalBus,https://www.mbta.com/stops/6360,0,,1
A3884,6361,900 River St,,42.261845,-71.109851,LocalBus,https://www.mbta.com/stops/6361,0,,1
A6368,63618,356 Washington St,,42.201575,-71.197158,LocalBus,https://www.mbta.com/stops/63618,0,,1
A3885,6362,River St opp Wood Ave,,42.262477,-71.108462,LocalBus,https://www.mbta.com/stops/6362,0,,1
A6369,63621,River St @ Agnes Ave,,42.263412,-71.106204,LocalBus,https://www.mbta.com/stops/63621,0,,1
A3886,6364,River St @ Wachusett St,,42.263553,-71.102202,LocalBus,https://www.mbta.com/stops/6364,0,,1
A3887,6365,River St @ Mattakeeset St,,42.264875,-71.099481,LocalBus,https://www.mbta.com/stops/6365,0,,1
A3888,6366,River St @ Blue Hill Ave,,42.267383,-71.094186,LocalBus,https://www.mbta.com/stops/6366,0,,1
A3889,6368,River St @ Cummings Hwy,,42.267439,-71.094318,LocalBus,https://www.mbta.com/stops/6368,0,,1
A3890,6369,River St @ Caton St,,42.264916,-71.099618,LocalBus,https://www.mbta.com/stops/6369,0,,1
A446,637,Washington St @ Firth Rd,,42.288780,-71.125513,LocalBus,https://www.mbta.com/stops/637,0,,1
A3891,6371,River St opp Massasoit St,,42.263764,-71.101746,LocalBus,https://www.mbta.com/stops/6371,0,,1
A3892,6372,River St @ Tileston St,,42.263591,-71.105151,LocalBus,https://www.mbta.com/stops/6372,0,,1
A3893,6373,River St @ Wood Ave,,42.262384,-71.108830,LocalBus,https://www.mbta.com/stops/6373,0,,1
A3894,6374,River St @ Reddy Ave,,42.261657,-71.111146,LocalBus,https://www.mbta.com/stops/6374,0,,1
A3895,6375,River St @ Huntington Ave,,42.261174,-71.113410,LocalBus,https://www.mbta.com/stops/6375,0,,1
A3896,6376,River St @ Metropolitan Ave,,42.260492,-71.115601,LocalBus,https://www.mbta.com/stops/6376,0,,1
A3897,6377,River St @ West St,,42.258818,-71.117983,LocalBus,https://www.mbta.com/stops/6377,0,,1
A447,638,Washington St @ Granfield Ave,,42.290089,-71.124166,LocalBus,https://www.mbta.com/stops/638,0,,1
A448,639,Washington St @ Whipple Ave,,42.291606,-71.122523,LocalBus,https://www.mbta.com/stops/639,0,,1
A3898,6390,River St opp Way St,,42.256279,-71.120718,LocalBus,https://www.mbta.com/stops/6390,0,,1
A3899,6392,Beacon St @ Fairmount Ave,,42.252485,-71.117976,LocalBus,https://www.mbta.com/stops/6392,0,,0
A3900,6393,Beacon St @ Albion St,,42.253865,-71.115552,LocalBus,https://www.mbta.com/stops/6393,0,,0
A3901,6394,Beacon St @ Metropolitan Ave,,42.255414,-71.112847,LocalBus,https://www.mbta.com/stops/6394,0,,1
A3902,6396,Metropolitan Ave @ Highland St,,42.253890,-71.111082,LocalBus,https://www.mbta.com/stops/6396,0,,1
A3903,6397,Summit St @ Metropolitan Ave,,42.252143,-71.109476,LocalBus,https://www.mbta.com/stops/6397,0,,1
A3904,6398,Summit St @ Milton Ave,,42.250886,-71.111651,LocalBus,https://www.mbta.com/stops/6398,0,,1
A3905,6399,Milton Ave @ Highland St,,42.252568,-71.113466,LocalBus,https://www.mbta.com/stops/6399,0,,0
A449,640,Washington St @ Archdale Rd,,42.292634,-71.121390,LocalBus,https://www.mbta.com/stops/640,0,,1
A3906,6400,Highland St @ Albion St,,42.252256,-71.114406,LocalBus,https://www.mbta.com/stops/6400,0,,1
A6371,64001,Highland St @ Warren Ave,,42.251500,-71.115692,LocalBus,https://www.mbta.com/stops/64001,0,,1
A6372,64002,Dudley St @ Nubian Station,,42.328842,-71.084633,LocalBus,https://www.mbta.com/stops/64002,0,,1
A3907,6401,Highland St @ Fairmount Ave,,42.250875,-71.116815,LocalBus,https://www.mbta.com/stops/6401,0,,1
A3908,6402,17 Pond St,,42.250218,-71.117192,LocalBus,https://www.mbta.com/stops/6402,0,,1
A3909,6403,Williams St @ Summit St,,42.248083,-71.116594,LocalBus,https://www.mbta.com/stops/6403,0,,1
A3910,6405,Washington St @ Dana Ave,,42.246760,-71.118824,LocalBus,https://www.mbta.com/stops/6405,0,,1
A3911,6406,Washington St @ Garfield Ave,,42.245906,-71.120291,LocalBus,https://www.mbta.com/stops/6406,0,,1
A3912,6407,Washington St @ Chittick Rd,,42.245426,-71.121132,LocalBus,https://www.mbta.com/stops/6407,0,,1
A3913,6408,Washington St @ Woodglen Rd,,42.244739,-71.122396,LocalBus,https://www.mbta.com/stops/6408,0,,1
A3914,6409,Washington St @ Faraday St,,42.244059,-71.123604,LocalBus,https://www.mbta.com/stops/6409,0,,1
A450,641,Washington St @ Aldwin Rd,,42.294445,-71.119493,LocalBus,https://www.mbta.com/stops/641,0,,1
A3915,6410,Washington St @ Needham Rd,,42.243669,-71.124308,LocalBus,https://www.mbta.com/stops/6410,0,,1
A3916,6411,Truman Hwy @ Wakefield Ave,,42.242811,-71.126148,LocalBus,https://www.mbta.com/stops/6411,0,,0
A3917,6413,Truman Hwy @ Tyler St,,42.246969,-71.125272,LocalBus,https://www.mbta.com/stops/6413,0,,1
A3918,6415,Truman Hwy @ Chittick Rd,,42.248375,-71.123996,LocalBus,https://www.mbta.com/stops/6415,0,,1
A3919,6417,Truman Hwy @ Dana Ave,,42.249906,-71.122439,LocalBus,https://www.mbta.com/stops/6417,0,,1
A6373,64171,Truman Hwy @ Mountfair Terr,,42.251058,-71.120427,LocalBus,https://www.mbta.com/stops/64171,0,,1
A3920,6418,Truman Hwy @ Williams Ave,,42.251576,-71.119533,LocalBus,https://www.mbta.com/stops/6418,0,,1
A3921,6419,Fairmount Ave @ Truman Hwy,,42.253034,-71.118706,LocalBus,https://www.mbta.com/stops/6419,0,,1
A451,642,Washington St @ Tollgate Way,,42.296255,-71.117613,LocalBus,https://www.mbta.com/stops/642,0,,1
A3922,6428,Cummins Hwy @ Washington St,,42.286327,-71.128092,LocalBus,https://www.mbta.com/stops/6428,0,,1
A3923,6430,Cummins Hwy @ Sycamore St,,42.284332,-71.125039,LocalBus,https://www.mbta.com/stops/6430,0,,1
A3924,6431,93 Cummins Hwy opp Sherwood St,,42.282976,-71.124104,LocalBus,https://www.mbta.com/stops/6431,0,,1
A3925,6432,Cummins Hwy @ Brown Ave,,42.281840,-71.122574,LocalBus,https://www.mbta.com/stops/6432,0,,1
A3926,6433,Cummins Hwy @ Rowe St,,42.280568,-71.120531,LocalBus,https://www.mbta.com/stops/6433,0,,1
