shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
334cc08f-6be8-4345-8a47-456b7f0f94b3,42.3282554643306,-71.6275095419591,11,4139.56
1f7032ca-1182-45a2-9627-770580c1aca9,42.2997154176066,-71.3762670085589,22,4276.42
2627a0fb-f03a-47b7-a044-5ce4fa08245f,42.3023158194015,-71.3792040276053,23,5260.79
580edf11-7d54-490b-8fac-edaeb138b110,42.2115082866852,-71.425264264659,23,9568.32
2627a0fb-f03a-47b7-a044-5ce4fa08245f,42.3019818843592,-71.3840695550483,32,5669.72
1a3bb90e-39bd-42a8-aee5-9c235210c1ca,42.338297655481,-71.6225648893454,53,13781.97
792fe5fe-01b8-4b19-ba95-775c2e0a66cd,42.3005,-71.43454,50,11919.32
792fe5fe-01b8-4b19-ba95-775c2e0a66cd,42.2994699954671,-71.3790712582511,42,7319.26
2627a0fb-f03a-47b7-a044-5ce4fa08245f,42.302639025607,-71.3758499250322,18,4930.53
f2ac62e3-4e8b-448f-abe5-23dee4a34dd7,42.3039573314165,-71.3816448379543,50,11225.21
116c48b8-ccc9-4391-ac93-d38c3ed825a9,42.3012053848031,-71.3864178291808,51,6880.86
116c48b8-ccc9-4391-ac93-d38c3ed825a9,42.3010806620765,-71.386635088124,50,6858.26
1a530520-83f4-4a7e-850b-5296d1b72aff,42.3517931909438,-71.5359979293345,14,4697.96
dd03bd27-6fae-4482-950d-30eb0a26dd79,42.3257368699155,-71.4142108806497,132,18953
2627a0fb-f03a-47b7-a044-5ce4fa08245f,42.3014669001977,-71.3863507739515,45,6244.52
9bcf911c-bc0b-4618-8513-ad6a01a0476d,42.2997167587112,-71.394370579384,101,17337.12
adf6bdfe-a1c8-4952-b53b-0b7276ceae9e,42.1382209442986,-71.5346903523618,2,780.27
f2ac62e3-4e8b-448f-abe5-23dee4a34dd7,42.2796377408289,-71.3611111856169,117,25692.01
bcf97166-39c3-4e42-b1ec-952c50424f96,42.2940318163652,-71.4638773479389,21,6608.24
ee4a9731-d677-46cf-b6de-4056519c82df,42.3112851268819,-71.2639722981436,21,3949.17
bcf97166-39c3-4e42-b1ec-952c50424f96,42.2981101154155,-71.4328227301134,13,3772.64
ee4a9731-d677-46cf-b6de-4056519c82df,42.2993197917533,-71.2697833043208,48,7356.62
116c48b8-ccc9-4391-ac93-d38c3ed825a9,42.3037065448586,-71.3975959359166,66,8486.24
7873e67f-97ec-4a6e-a398-1b17ebe07afd,42.2761294112283,-71.4108728713318,51,19583.33
cb7954c3-4f25-47ad-83e5-0cc468a0f704,42.2701977056383,-71.4298629122891,20,5429.68
ee4a9731-d677-46cf-b6de-4056519c82df,42.2993197917533,-71.2684247653738,47,7244.96
116c48b8-ccc9-4391-ac93-d38c3ed825a9,42.302323866029,-71.3792925405081,31,5898.26
2ae7cb28-5016-4e06-ab62-e6ff783c178a,42.2929978247284,-71.4874673776309,30,9488.09
24f5f49a-7234-4f0e-a244-3a32b516a12c,42.2973443446961,-71.3777730690106,3,1145.71
bcf97166-39c3-4e42-b1ec-952c50424f96,42.2775871919148,-71.409734273537,2,275.81
ee4a9731-d677-46cf-b6de-4056519c82df,42.3062036816003,-71.2543538960429,34,5269.48
116c48b8-ccc9-4391-ac93-d38c3ed825a9,42.2808514404804,-71.4197348904452,100,16434.35
606a8096-088f-4cad-8737-f93e5aa49fe7,42.295124816604,-71.4882197373044,52,10808.66
dd03bd27-6fae-4482-950d-30eb0a26dd79,42.3282299833435,-71.4220764590547,134,19657.72
2ae7cb28-5016-4e06-ab62-e6ff783c178a,42.3459580448841,-71.5506749779388,55,20370.74
f2ac62e3-4e8b-448f-abe5-23dee4a34dd7,42.3131090291207,-71.3603038406553,58,14311.85
792fe5fe-01b8-4b19-ba95-775c2e0a66cd,42.2999393820726,-71.3607920027251,22,4831.11
ee4a9731-d677-46cf-b6de-4056519c82df,42.3253385618531,-71.2579172109316,8,1647.02
116c48b8-ccc9-4391-ac93-d38c3ed825a9,42.2946084913378,-71.408973867236,82,11864.26
b3be799b-deb3-49ee-81da-777f4b5b4b01,42.2977560638044,-71.4196597885883,22,9156.24
1499fae1-4207-432e-a615-c5b7409b0707,42.1499207407189,-71.4883605532861,0,0
606a8096-088f-4cad-8737-f93e5aa49fe7,42.2912369544051,-71.4933119114227,42,9954.1
f2ac62e3-4e8b-448f-abe5-23dee4a34dd7,42.2742397948647,-71.4019853712312,8,2056.56
606a8096-088f-4cad-8737-f93e5aa49fe7,42.2990824162413,-71.4945175644468,61,11959.69
bcf97166-39c3-4e42-b1ec-952c50424f96,42.2938373562001,-71.4586054658059,18,6150.46
1f7032ca-1182-45a2-9627-770580c1aca9,42.2968280194299,-71.3509751171455,8,1714.98
2ae7cb28-5016-4e06-ab62-e6ff783c178a,42.2910773629592,-71.4883565299724,27,8915.63
dd03bd27-6fae-4482-950d-30eb0a26dd79,42.2777280078964,-71.4199052107278,1,208.07
792fe5fe-01b8-4b19-ba95-775c2e0a66cd,42.2993627071001,-71.3745973333476,27,5995.83
a06bbebf-63e8-446f-ad75-7896c1113b38,42.22826314,-71.52213335,4,3826.11
a4343a34-dbe1-4155-8e64-098298f2e552,42.2927054639283,-71.4364249370351,45,18046.03
6ad13089-7874-4511-94fc-2e65506ae49c,42.3007923245902,-71.4920941884574,30,10207.2
792fe5fe-01b8-4b19-ba95-775c2e0a66cd,42.2988825916578,-71.4270372049235,48,11277.02
b48eb036-32b1-4cc1-905d-fe8b6bd7aec4,42.3251977458714,-71.5333465655653,50,14538.64
1f7032ca-1182-45a2-9627-770580c1aca9,42.3000587403809,-71.4392265045182,45,10445.55
fc94a1b2-b4c5-4bd8-a42f-fceae0d8667d,42.302639025607,-71.3758499250322,9,3973.27
1a530520-83f4-4a7e-850b-5296d1b72aff,42.3522706241769,-71.5303170103024,10,3828.25
951f5f2d-f813-4893-bc83-c3de4a98d02c,42.284811722327,-71.3474238721981,1,76.02
791bd6d1-4ac1-4d09-a490-cf416b365e04,42.2851309052188,-71.3408725762887,49,12535.72
dd03bd27-6fae-4482-950d-30eb0a26dd79,42.3162941525158,-71.4376788698244,149,22790.52
dd03bd27-6fae-4482-950d-30eb0a26dd79,42.30596451,-71.40172177,82,12381.91
792fe5fe-01b8-4b19-ba95-775c2e0a66cd,42.2978432356026,-71.4188779246138,47,10596.54
fc94a1b2-b4c5-4bd8-a42f-fceae0d8667d,42.3015715063555,-71.3776483462839,8,3783.75
17233672-961e-4210-9582-5acad72e5880,42.3011396706784,-71.3925654526094,4,722.38
dbdc228e-b90f-495b-a216-14a6399b1186,42.2952817258407,-71.4878790967392,26,10241.59
116c48b8-ccc9-4391-ac93-d38c3ed825a9,42.3036354663155,-71.3785026299061,25,5521.36
0348f914-4e27-49cb-83c2-1c521f21aa61,42.3966893492156,-71.5994321763177,76,11055.3
17233672-961e-4210-9582-5acad72e5880,42.2987042247477,-71.3967389700853,8,1329.43
f2ac62e3-4e8b-448f-abe5-23dee4a34dd7,42.2869454197255,-71.38229259147,16,4934.37
709a77da-33f5-4520-b815-a1be5f72dfbc,42.2937019046368,-71.4702878278666,17,6588.69
791bd6d1-4ac1-4d09-a490-cf416b365e04,42.2758746013567,-71.411843831053,0,0
f2ac62e3-4e8b-448f-abe5-23dee4a34dd7,42.2788652645865,-71.3655274430232,120,26066.72
00d796b5-0044-4e89-b25b-63241ad7ec28,42.2993157684395,-71.3875684969168,26,4494.4
791bd6d1-4ac1-4d09-a490-cf416b365e04,42.2890294962543,-71.3848433723952,87,24776.07
