25021~02088 ,      5442,   0.00062
25021~02088 ,      2396,   0.99959
25021~02088 ,      2395,   0.96139
25021~02088 ,      2394,   0.00035
25021~01904 ,      2327,   0.02968
25021~01904 ,      2328,   0.00155
25021~01904 ,      2329,   0.90967
25021~01904 ,      2325,   0.00044
25021~01904 ,      2330,   0.03995
25021~01900 ,      2331,   0.00569
25021~01900 ,      2329,   0.09033
25021~01900 ,      2330,   0.84680
25005~0389A ,      3175,   0.00300
25005~0389A ,      3165,   0.00071
25005~0389A ,      3177,   0.99666
25005~00447 ,      3254,   0.58317
25005~0444A ,      3245,   0.99572
25005~0444A ,      3246,   0.00349
25017~1424A ,      2113,   0.00382
25017~1424A ,      2087,   0.00127
25017~1424A ,      2112,   0.95632
25017~1424A ,      2111,   0.14646
25005~00442 ,      3256,   0.00040
25005~00442 ,      3254,   0.41683
25005~0385A ,      2388,   0.00203
25005~0385A ,      3164,   0.72739
25005~0385A ,      3165,   0.00247
25005~00440 ,      3241,   0.00055
25005~00440 ,      3255,   0.99490
25005~00440 ,      3247,   0.00040
25005~0388A ,      3164,   0.00066
25005~0388A ,      3166,   0.98349
25005~0388A ,      3165,   0.00212
25005~00449 ,      3249,   0.99963
25005~00449 ,      3246,   0.02242
25021~01975 ,      3541,   1.00000
25021~01975 ,      3249,   0.00037
25021~02089 ,      2395,   0.01369
25021~02089 ,      2394,   0.00105
25021~02089 ,      2331,   0.00285
25021~02089 ,      2390,   0.99953
25021~02089 ,      2391,   0.00335
25021~02089 ,      2330,   0.00044
25021~01976 ,      3542,   1.00000
25021~1953A ,      1670,   0.00241
25021~1953A ,      1669,   0.78212
25021~01915 ,      2321,   0.00063
25021~01915 ,      2322,   0.38791
25021~01912 ,      2322,   0.04375
25021~01912 ,      2317,   0.99642
25021~01911 ,      2324,   0.01062
25021~01911 ,      2328,   0.00233
25021~01911 ,      2316,   0.99907
25021~01909 ,      2328,   0.99612
25021~01909 ,      2325,   0.00044
25021~01909 ,      2316,   0.00093
25021~1908C ,      2318,   0.03658
25017~1382A ,      2300,   0.00232
25017~1382A ,      2772,   0.00162
25017~1382A ,      2296,   0.00168
25017~1382A ,      2295,   0.99777
25021~1901A ,      2320,   0.58340
25021~1901A ,      2319,   0.00318
25021~1901A ,      2318,   0.44668
25021~1901A ,      2317,   0.00313
25021~1914B ,      2309,   0.00076
25021~1914B ,      2311,   0.00411
25021~1914B ,      2312,   0.99754
25021~1914B ,      2313,   0.00250
25021~01906 ,      2313,   0.00083
25021~01906 ,      2331,   0.99099
