Agency,Stop_ID,Station_Name,WLK,KNR,PNR,XFR,ALL
MBTA,A1444&T,Medford St @ Hamlet,0,0,0,7,7
MBTA,A1530&T,Appleton St @ Homer,1,0,0,0,1
MBTA,A1533&T,Wachusett Ave @ Dow,2,0,0,0,2
MBTA,A1535&T,Wachusett Ave @ Oakl,9,0,0,0,9
MBTA,A4479&T,South St opp Brandei,2,0,0,0,2
MBTA,A4566&T,Lexington St @ Schoo,0,0,0,1,1
MBTA,A4668&T,Summer St @ Washingt,0,0,0,0,0
MBTA,A5029&T,Main St opp Willow S,33,0,0,0,33
MBTA,A5059&T,Bacon St @ School St,0,0,0,0,0
MBTA,A6899&T,Moody St @ Carter St,3,0,0,26,29
MBTA,A6912&T,South St @ Turner St,0,0,0,11,11
MBTA,A1284&T,Belmont St @ Falmout,13,0,0,0,13
MBTA,A1285&T,Belmont St @ School,45,0,0,0,45
MBTA,A1390&T,Massachusetts Ave @,23,0,0,0,23
MBTA,A1412&T,Park Circle @ Park A,0,0,0,0,0
MBTA,A1422&T,Brighton St @ Eliot,0,0,0,0,0
MBTA,A1443&T,Medford St @ Lewis A,92,0,0,0,92
MBTA,A1532&T,Appleton St opp Ely,0,0,0,0,0
MBTA,A4537&T,Tomlin St @ Summit S,0,0,0,0,0
MBTA,A4564&T,Lake St @ Lexington,0,0,0,0,0
MBTA,A4979&T,Massachusetts Ave @,23,1,0,0,24
MBTA,A6886&T,1164 Main St @ Phili,0,0,0,0,0
MBTA,A1419&T,Brighton St @ Pleasa,15,0,0,0,15
MBTA,A4480&T,South St @ Shapiro A,0,0,0,0,0
MBTA,A4556&T,Smith St @ Trapelo R,4,0,0,0,4
MBTA,A4672&T,Mill St @ Mill Brook,36,0,0,0,36
MBTA,A4776&T,Mystic St @ Columbia,0,0,0,0,0
MBTA,A4786&T,Main St @ Oakland St,58,1,0,0,59
MBTA,A5027&T,Main St @ Warren St,0,0,0,0,0
MBTA,A1222&T,Mt Auburn St @ Keena,1,0,0,0,1
MBTA,A1225&T,Mt Auburn St @ Winso,94,0,0,0,94
MBTA,A1289&T,Trapelo Rd opp Willi,0,0,0,0,0
MBTA,A1421&T,Brighton St @ Coolid,61,0,0,0,61
MBTA,A4621&T,Worthen Rd @ Waltham,0,0,0,0,0
MBTA,A4673&T,Mill St @ Bacon St,2,0,0,0,2
MBTA,A4823&T,Main St @ Gilbert St,0,0,0,0,0
MBTA,A4980&T,Massachusetts Ave @,0,0,0,0,0
MBTA,A5496&T,Broadway opp Sunnysi,4,0,0,0,4
MBTA,A1227&T,Mt Auburn St @ Amher,0,0,0,0,0
MBTA,A1267&T,Trapelo Rd @ Church,32,0,0,36,69
MBTA,A1534&T,Wachusett Ave @ Flor,33,0,0,0,33
MBTA,A4561&T,Lake St @ Bowdoin Av,0,0,0,0,0
MBTA,A4638&T,Bedford St @ Eldred,10,1,0,0,11
MBTA,A5327&T,Weston St @ Cedarwoo,0,0,0,0,0
MBTA,A1224&T,Mt Auburn St @ Uplan,74,0,0,0,74
MBTA,A4622&T,Massachusetts Ave @,3,0,0,0,3
MBTA,A4774&T,Mystic St @ Falmouth,11,0,0,0,11
MBTA,A4977&T,Marrett Rd @ Waltham,0,0,0,0,0
MBTA,A4992&T,Main St opp Rose Hil,0,1,0,0,1
MBTA,A5841&T,Huron Ave @ Grove St,163,0,0,0,163
MBTA,A6727&T,Moody St @ Ash St,2,0,0,0,2
MBTA,A902&T,Arsenal St opp Talco,0,0,0,0,1
MBTA,A4994&T,Main St @ Rangeley R,78,0,0,0,78
MBTA,A5495&T,Broadway opp Silk St,18,0,0,0,18
MBTA,A6726&T,Moody St @ Washingto,0,0,0,0,0
MBTA,A893&T,Arsenal St @ Beacon,19,0,0,0,19
MBTA,A4986&T,Massachusetts Ave @,0,0,0,0,0
MBTA,A6875&T,Marrett Rd @ Forbes,0,0,0,0,0
MBTA,A1226&T,Mt Auburn St @ Adams,0,0,0,0,0
MBTA,A1302&T,Bright Rd @ Washingt,0,0,0,0,0
MBTA,A1416&T,East Service Rd @ Cl,42,0,0,0,43
MBTA,A1540&T,West Service Rd @ La,12,0,0,0,12
MBTA,A6897&T,Moody St opp Underwo,5,0,0,0,5
MBTA,A6900&T,Main St opp Green St,0,0,0,0,0
MBTA,A905&T,Arsenal St opp Beech,13,0,0,0,13
MBTA,A5032&T,Main St @ Harris St,0,0,0,0,0
MBTA,A6905&T,Main St @ Bacon St,2,0,0,0,2
MBTA,A1283&T,Belmont St @ Marlbor,0,0,0,0,0
MBTA,A4648&T,Bedford St @ Worthen,10,0,0,0,10
MBTA,A1297&T,Concord Ave @ Cottag,8,0,0,0,8
MBTA,A1424&T,Blanchard Rd @ Hamil,0,0,0,2,2
MBTA,A5020&T,Main St @ Waverley A,25,0,0,0,25
MBTA,A6887&T,Main St @ Everett St,7,0,0,0,7
MBTA,A1273&T,36 Trapelo Rd,0,0,0,0,1
MBTA,A1414&T,East Service Rd @ Pa,34,0,0,0,34
MBTA,A4665&T,Forest St @ Heard Rd,6,1,0,0,7
MBTA,A4996&T,Main St opp Longfell,1,0,0,0,1
MBTA,A5021&T,Main St @ Edenfield,21,0,0,0,21
MBTA,A6885&T,Main St @ Sheridan R,0,0,0,0,1
MBTA,A6906&T,Main St @ Hammond St,26,0,0,0,26
MBTA,A895&T,Arsenal St @ Louise,46,0,0,0,47
MBTA,A4669&T,Summer St opp Symmes,34,0,0,0,34
MBTA,A5031&T,Main St opp Chamberl,11,0,0,0,12
MBTA,A903&T,Arsenal St @ School,26,0,0,0,26
MBTA,A6766&T,Maple St @ Moody St,0,0,0,0,0
MBTA,A6888&T,Main St opp Prospect,13,0,0,0,13
MBTA,A1527&T,Wadsworth Rd @ Dow A,13,0,0,0,13
MBTA,A5771&T,1045 Trapelo Rd,0,0,0,0,0
MBTA,A907&T,Arsenal St @ Irving,8,0,0,3,11
MBTA,A4993&T,Main St @ Willow St,95,0,0,0,95
MBTA,A5490&T,Broadway @ Allen St,8,0,0,0,8
MBTA,A5491&T,Broadway @ Tufts St,0,0,0,0,0
MBTA,A6853&T,MIT Lincoln Laborato,7,0,0,0,7
MBTA,A6882&T,Lexington St opp Ste,41,0,0,0,41
MBTA,A6889&T,Main St @ Weston St,0,0,0,0,0
MBTA,A6903&T,691 Main St,4,0,0,0,4
MBTA,A1221&T,Mt Auburn St @ Saint,286,0,0,0,286
MBTA,A1384&T,Massachusetts Ave @,1,0,0,2,2
MBTA,A5019&T,Main St @ Thaxter St,3,0,0,0,3
MBTA,A5772&T,Crescent St @ Moody,27,0,0,12,39
MBTA,A5799&T,Massachusetts Ave op,0,0,0,0,0
MBTA,A6895&T,Moody St @ Ash St,4,0,0,0,4
MBTA,A5488&T,Broadway @ Franklin,18,0,0,3,21
MBTA,A6892&T,Moody St @ Main St,14,0,0,42,56
MBTA,A897&T,Arsenal St @ Talcott,2,0,0,0,3
MBTA,A1383&T,Massachusetts Ave @,11,0,0,0,11
MBTA,A1423&T,Brighton St @ Hittin,1,0,0,0,1
MBTA,A900&T,Arsenal St @ Arlingt,96,0,0,0,96
MBTA,A1237&T,Mt Auburn St @ Walnu,40,0,0,0,41
MBTA,A4978&T,Massachusetts Ave op,29,3,0,0,32
MBTA,A1239&T,Mt Auburn St @ Winth,1,0,0,0,1
MBTA,A6896&T,Moody St @ Orange St,29,0,0,0,29
MBTA,A1270&T,Trapelo Rd @ Walnut,6,0,0,0,6
MBTA,A1387&T,Massachusetts Ave @,7,0,0,0,7
MBTA,A5493&T,Broadway @ Oxford St,106,0,0,0,106
MBTA,A896&T,Arsenal St opp Schoo,53,0,0,0,54
MBTA,A5494&T,Broadway @ Cleveland,2,0,0,0,2
MBTA,A1367&T,Massachusetts Ave @,3,0,0,0,3
MBTA,A5492&T,Broadway @ Harlow St,1,0,0,0,1
MBTA,A1233&T,Mt Auburn St @ Main,4,0,18,0,23
MBTA,A5848&T,Massachusetts Ave @,0,0,0,3,3
MBTA,A5849&T,Massachusetts Ave @,9,0,0,25,35
MBTA,A6765&T,Maple St @ Crescent,0,0,0,0,0
MBTA,A1381&T,Massachusetts Ave @,2,0,0,0,2
MBTA,A4784&T,590 Main St opp Hers,213,1,0,0,214
MBTA,A1238&T,Mt Auburn St @ Boyls,0,0,0,0,0
MBTA,A4785&T,Main St @ Pilgrim Rd,0,0,0,0,0
MBTA,A6894&T,Main St @ Appleton S,21,1,33,0,55
MBTA,A894&T,Arsenal St @ Beechwo,73,0,0,0,73
MBTA,A1244&T,Mt Auburn St @ Cotta,111,0,0,0,111
MBTA,A1379&T,Massachusetts Ave @,29,0,0,11,40
MBTA,A4551&T,Lexington St @ Brook,1,0,0,0,1
MBTA,A1274&T,Trapelo Rd @ Belmont,192,0,0,0,192
MBTA,A1298&T,Concord Ave @ Orchar,2,0,0,0,2
MBTA,A1378&T,Massachusetts Ave @,0,0,0,3,4
MBTA,A4478&T,South St @ Angleside,9,0,2,19,30
MBTA,A1275&T,Belmont St opp Payso,5,0,0,0,5
MBTA,A5850&T,Massachusetts Ave @,2,0,0,0,2
MBTA,A1388&T,Massachusetts Ave @,2,0,0,0,2
MBTA,A1236&T,Mt Auburn St @ Frank,51,0,0,0,52
MBTA,A1223&T,Mt Auburn St @ Kimba,145,0,0,0,145
MBTA,A4788&T,Main St @ Green St,38,0,0,0,39
MBTA,A4995&T,Main St opp Warren S,0,0,0,0,0
