Agency,Stop_ID,Station_Name,WLK,KNR,PNR,XFR,ALL
MBTA,A2590&T,Centre St @ Albertin,0,0,0,0,0
MBTA,A391&T,River St opp Leahave,160,0,0,0,160
MBTA,A5588&T,Central Ave @ Centra,4,0,0,70,74
MBTA,A1027&T,West St @ Centre St,3,0,0,0,3
MBTA,A1858&T,Hancock St @ Butler,0,0,0,0,0
MBTA,A1906&T,Harvard St @ Holbroo,1,0,0,0,1
MBTA,A1938&T,E Squantum St @ Holy,3,0,0,0,3
MBTA,A2058&T,Bicknell St @ Binnac,0,0,0,0,0
MBTA,A2097&T,Granite Ave @ Basset,0,0,0,2,2
MBTA,A2132&T,Willard St @ Roberts,23,0,0,0,23
MBTA,A2343&T,Quincy Ave opp Presi,123,0,0,0,123
MBTA,A2647&T,184 Reedsdale Rd,0,0,0,0,0
MBTA,A352&T,Gallivan Blvd @ Ston,0,0,0,0,0
MBTA,A2055&T,Taffrail Rd @ Bickne,0,0,0,0,0
MBTA,A2096&T,Adams St @ Church St,0,0,0,0,0
MBTA,A2198&T,Washington St @ Sout,3,0,0,0,3
MBTA,A544&T,Dorchester Ave @ Ric,7,0,0,16,23
MBTA,A5970&T,Newport Ave @ Hancoc,60,0,0,0,60
MBTA,A1924&T,Huckins Ave @ E Squa,0,0,0,0,0
MBTA,A2086&T,Willard St opp Calif,0,0,0,0,0
MBTA,A2145&T,315 Water St,0,0,0,0,0
MBTA,A2146&T,Water St @ Quincy St,0,0,0,0,0
MBTA,A2475&T,Franklin St @ Payne,0,0,0,0,0
MBTA,A388&T,River St @ Cedar St,30,0,0,0,30
MBTA,A5993&T,N Central @ Beale St,0,0,0,0,1
MBTA,A1841&T,Hancock St opp Albio,0,0,0,0,0
MBTA,A2039&T,410 Sea St,0,0,0,0,0
MBTA,A2134&T,Willard St @ Califor,0,0,0,0,0
MBTA,A2127&T,Robertson St @ Adams,4,0,0,0,4
MBTA,A2150&T,Hancock St @ Walter,87,0,0,5,92
MBTA,A386&T,Dorchester Ave @ Was,18,1,2,0,21
MBTA,A6010&T,Sea St @ Parkhurst S,0,0,0,0,0
MBTA,A1846&T,Hancock St @ Wentwor,0,0,0,0,0
MBTA,A2042&T,Sea St @ Overlook Rd,1,0,0,0,1
MBTA,A2054&T,26 Taffrail Rd,0,0,0,0,0
MBTA,A2093&T,Robertson St @ Adams,26,0,0,1,27
MBTA,A2141&T,62 Copeland St,0,0,0,1,1
MBTA,A2149&T,School St @ Phipps S,5,0,0,9,14
MBTA,A2276&T,Washington St opp Lo,29,0,0,0,29
MBTA,A333&T,Gallivan Blvd @ Oakr,112,0,0,0,112
MBTA,A401&T,River St opp Wichita,24,0,0,6,30
MBTA,A2027&T,Sea St @ Manet Ave,0,0,0,0,0
MBTA,A2187&T,Washington St @ Edwa,0,0,0,6,6
MBTA,A1937&T,E Squantun St @ Atla,1,0,0,0,1
MBTA,A2140&T,Copeland St @ Centre,0,0,0,1,1
MBTA,A2277&T,Washington St @ Pond,0,0,0,0,0
MBTA,A332&T,Gallivan Blvd opp Ar,2,0,0,0,2
MBTA,A1936&T,E Squantum St @ Edge,0,0,0,0,0
MBTA,A2041&T,Sea St @ Samoset Ave,67,0,0,0,67
MBTA,A2186&T,Washington St @ McGr,3,0,0,0,4
MBTA,A334&T,Gallivan Blvd @ Plea,39,0,0,0,39
MBTA,A387&T,River St @ Wichita T,88,0,0,5,93
MBTA,A2188&T,Washington St @ Fowl,0,0,0,0,0
MBTA,A2358&T,Quincy Ave @ Souther,57,0,0,0,57
MBTA,A2589&T,Centre St @ Bartlett,12,0,0,0,12
MBTA,A1849&T,Hancock St @ Saint A,12,0,0,0,12
MBTA,A1934&T,E Squantum St opp Hu,0,0,0,0,0
MBTA,A2023&T,Sea St @ Fensmere Av,0,0,0,0,0
MBTA,A2578&T,Opp 859 Willard St,0,0,0,7,7
MBTA,A2077&T,Copeland St @ Granit,169,0,0,0,169
MBTA,A2089&T,Robertson St @ Quarr,0,0,0,0,0
MBTA,A6013&T,Sea St @ Norton Rd,0,0,0,0,0
MBTA,A2080&T,165 Copeland St,0,0,0,0,0
MBTA,A2152&T,Coddington St @ Sout,14,0,0,0,14
MBTA,A399&T,168 River St opp Sta,1,0,0,0,1
MBTA,A2341&T,Quincy Ave @ Faxon C,0,0,0,0,0
MBTA,A2071&T,School St opp Gay St,1,0,0,0,1
MBTA,A2351&T,Quincy Ave @ School,6,0,0,9,15
MBTA,A2274&T,Washington St @ Edis,74,0,0,0,74
MBTA,A6074&T,Southern Artery @ Pr,2,0,0,0,2
MBTA,A1895&T,Newport Ave opp Will,0,0,0,0,0
MBTA,A2059&T,Bicknell St @ Yardar,0,0,0,0,0
MBTA,A2275&T,Washington St @ Mill,0,0,0,1,1
MBTA,A1997&T,Coddington St @ Wash,21,0,0,21,42
MBTA,A2269&T,Washington St @ Bake,10,0,0,0,10
MBTA,A2053&T,Palmer St @ Taffrail,0,0,0,0,0
MBTA,A304&T,Norfolk St @ Morton,8,0,0,46,55
MBTA,A2345&T,Quincy Ave @ Scammel,49,0,0,0,49
MBTA,A2339&T,Quincy Ave @ E Howar,0,0,0,0,0
MBTA,A389&T,River St @ Standard,15,0,0,0,15
MBTA,A2072&T,Franklin St @ Water,31,0,0,22,53
MBTA,A2143&T,Copeland St @ Granit,64,0,0,0,64
MBTA,A2273&T,Washington St @ Rive,2,0,0,0,2
MBTA,A2037&T,Sea St @ Gannett Rd,0,0,0,0,0
MBTA,A2070&T,School St @ Hancock,65,1,0,4,69
MBTA,A359&T,Morton St @ Theodore,122,0,0,3,124
MBTA,A6104&T,Southern Artery @ So,0,0,0,0,0
MBTA,A6939&T,Atlantic Middle Scho,0,0,0,0,0
MBTA,A2060&T,Palmer St @ Shed St,0,0,0,0,0
MBTA,A2272&T,Washington St @ Sout,1,0,0,0,1
MBTA,A2052&T,375 Palmer St,0,0,0,0,0
MBTA,A5523&T,Sea St @ Moffat Rd,0,0,0,0,0
MBTA,A348&T,Morton St @ Wildwood,4,0,0,0,4
MBTA,A2185&T,Washington St @ Fost,4,0,0,19,23
MBTA,A2271&T,Washington St @ Leba,123,0,0,0,123
MBTA,A350&T,Morton St @ Evans St,42,0,0,4,46
MBTA,A6134&T,Quincy Adams,1,0,1,37,38
MBTA,A331&T,Gallivan Blvd @ Mort,9,0,0,0,9
MBTA,A2592&T,Central Ave @ Centra,0,0,0,29,29
MBTA,A2057&T,O'Brien Towers,0,0,0,0,0
MBTA,A349&T,Morton St @ Norfolk,113,0,0,0,113
MBTA,A1998&T,Coddington St @ Quin,0,0,0,0,0
MBTA,A2340&T,Quincy Ave @ Souther,216,0,0,0,216
MBTA,A2270&T,Washington St @ Wash,23,0,0,0,23
MBTA,A2069&T,1445 Hancock St,14,2,0,83,99
MBTA,A329&T,Gallivan Blvd @ Fair,0,0,0,0,0
MBTA,A358&T,Morton St @ Norfolk,78,0,0,46,125
MBTA,A351&T,Morton St @ Lorna Rd,32,0,0,0,32
MBTA,A1089&T,Blue Hill Ave opp Wo,55,0,0,24,79
MBTA,A347&T,Morton St @ Blue Hil,0,0,0,37,37
MBTA,A1090&T,1458 Blue Hill Ave o,14,0,0,2,16
MBTA,A6003&T,Quincy Center,18,0,0,64,82
MBTA,A1913&T,North Quincy,22,0,0,130,152
MBTA,A1093&T,Blue Hill Ave @ Wool,40,0,0,312,353
MBTA,A1092&T,Blue Hill Ave @ Fess,535,0,0,4,539
MBTA,A1091&T,Blue Hill Ave @ Matt,225,1,0,0,225
MBTA,A1094&T,Blue Hill Ave @ Mort,79,0,0,96,175
MBTA,A6000&T,Quincy Center,32,0,0,340,372
MBTA,A6001&T,Quincy Center,10,0,0,65,75
MBTA,A5999&T,Quincy Center,46,1,0,225,272
MBTA,A6002&T,Quincy Center,13,0,0,589,602
MBTA,A1150&T,VFW Pkwy @ Corey St,13,0,0,0,13
MBTA,A1172&T,Weld St @ Morey St,0,0,0,0,0
MBTA,A1173&T,Weld St @ Gretter Rd,0,0,0,0,0
MBTA,A1736&T,529 Poplar St,0,0,0,0,0
MBTA,A1738&T,Poplar St @ West St,26,0,0,0,26
MBTA,A3199&T,Centre St opp Walter,0,0,0,0,0
MBTA,A3201&T,Centre St @ Buchanan,0,0,0,0,0
MBTA,A3202&T,Centre St @ Weld St,0,0,0,0,0
MBTA,A3205&T,Centre St @ Fletcher,23,0,0,0,23
MBTA,A3206&T,1539 Centre St opp B,0,0,0,0,0
MBTA,A3207&T,Centre St @ Montclai,0,0,0,0,0
MBTA,A3208&T,Centre St @ Church S,0,0,0,0,0
MBTA,A3209&T,Centre St @ W Roxbur,0,0,0,0,1
MBTA,A3210&T,W Roxbury Pkwy @ Bee,0,0,0,6,6
MBTA,A3212&T,101 Anawan Ave opp A,0,0,0,0,0
MBTA,A3214&T,Park St @ Gertrude R,0,0,0,0,0
MBTA,A3900&T,Beacon St @ Albion S,0,0,0,0,0
MBTA,A3903&T,Summit St @ Metropol,30,0,0,0,30
MBTA,A3906&T,Highland St @ Albion,8,0,0,0,8
MBTA,A4813&T,1 W Milton St opp Er,0,0,0,0,0
MBTA,A4815&T,113 W Milton St opp,0,0,0,0,0
MBTA,A4821&T,River St opp Turtle,0,0,0,0,0
MBTA,A4827&T,Opp 1557 River St,0,0,0,0,0
MBTA,A4828&T,River St @ Reservati,0,0,0,0,0
MBTA,A5063&T,Alwin St @ Stonehill,0,0,0,0,0
MBTA,A5064&T,Alwin St opp Leighto,22,0,0,1,22
MBTA,A5065&T,Alwin St @ Dedham Pk,6,0,0,0,6
MBTA,A5066&T,Dedham Pkwy opp Geor,1,0,0,0,1
MBTA,A5067&T,Turtle Pond Pkwy @ A,9,0,0,0,9
MBTA,A5068&T,Turtle Pond Pkwy opp,0,0,0,0,0
MBTA,A5069&T,Turtle Pond Pkwy @ F,0,0,0,0,0
MBTA,A5073&T,W Milton St @ Pine A,0,0,0,0,0
MBTA,A5074&T,W Milton St @ W Milt,0,0,0,0,0
MBTA,A5075&T,W Milton St @ Ernest,0,0,0,0,0
MBTA,A5076&T,River St opp Neponse,0,0,0,0,0
MBTA,A512&T,Centre St @ Fairlane,0,0,0,0,0
MBTA,A513&T,2519 Centre St,0,0,0,0,0
MBTA,A515&T,80 Stimson St,0,0,0,0,0
MBTA,A529&T,Lagrange St @ Westmo,0,0,0,0,0
MBTA,A530&T,Lagrange St opp Virg,0,0,0,0,0
MBTA,A531&T,Lagrange St opp Pend,0,0,0,0,0
MBTA,A532&T,Lagrange St opp Bura,0,0,0,0,0
MBTA,A533&T,Lagrange St @ Vermon,0,0,0,0,0
MBTA,A534&T,Vermont St @ Carroll,0,0,0,0,0
MBTA,A5382&T,17 Charles Park Rd,0,0,0,0,0
MBTA,A5449&T,Corey St @ LaGrange,0,0,0,0,0
MBTA,A5652&T,525 Washington St op,0,0,0,0,0
MBTA,A5838&T,Corey St @ Marlin Rd,0,0,0,0,0
MBTA,A5991&T,Corey St opp Mount B,0,0,0,0,0
MBTA,A6012&T,1661 Hyde Park Ave,0,0,0,1,1
MBTA,A614&T,Grove St opp Altair,7,0,0,0,7
MBTA,A6147&T,LaGrange St @ Brookf,0,0,0,0,0
MBTA,A6318&T,LaGrange St @ Andere,0,0,0,0,0
MBTA,A6785&T,14 Washington St opp,19,0,0,0,19
MBTA,A6858&T,Baker St @ VFW Pkwy,3,0,0,0,3
MBTA,A6859&T,Baker St @ VFW Pkwy,0,0,0,0,0
MBTA,A6860&T,Baker St @ Capital S,0,0,0,1,1
MBTA,A6861&T,Baker St opp Varick,1,0,0,0,1
MBTA,A6862&T,Baker St @ Amesbury,0,0,0,0,0
MBTA,A6863&T,Baker St @ Cutter Rd,0,0,0,0,0
MBTA,A6919&T,Neponset Valley Park,2,0,0,0,2
MBTA,A7270&T,Readville - Lower Pa,0,0,0,0,0
MBTA,A7274&T,Fairmount - Fairmoun,0,0,0,0,0
MBTA,A7275&T,Fairmount - Fairmoun,0,0,0,0,0
MBTA,A7279&T,Blue Hill Avenue - B,0,0,0,0,0
MBTA,A7305&T,Dedham Corp Center,0,0,0,0,0
MBTA,A7475&T,Mattapan - Neponset,0,0,0,0,0
MBTA,A7476&T,Mattapan - Upper Bus,0,0,0,0,0
MBTA,A7477&T,Mattapan - Lower Bus,0,0,0,0,0
MBTA,A7478&T,Mattapan - Mattapan,0,0,0,0,0
MBTA,A7825&T,Roslindale Village -,0,0,0,0,0
MBTA,A7826&T,Roslindale Village,0,0,0,0,0
